"epci2018";"Indic";"valeur_b100";"valeur";"valeur_france";"Indicateur";"Unite";"Indicateur_s"
"200000172";"FAM_1";93,8600188602154;14,6295230022258;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200000438";"FAM_1";57,9978404310116;9,03985265471275;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200000545";"FAM_1";105,248842507321;16,404645781199;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200000628";"FAM_1";88,1425949416932;13,7383748249165;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200000800";"FAM_1";83,6607018767496;13,0398030743103;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200000925";"FAM_1";64,1408077502399;9,99732829545827;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200000933";"FAM_1";88,5220596127723;13,7975202118608;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200004802";"FAM_1";70,4665287517258;10,9832888995652;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200005932";"FAM_1";70,4355073174628;10,9784537334143;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200005957";"FAM_1";100,596002013252;15,6794292527958;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200006682";"FAM_1";81,1506646905284;12,6485752949195;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200006716";"FAM_1";84,383402217137;13,1524470028095;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200006930";"FAM_1";69,0084024479526;10,7560175591133;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200006971";"FAM_1";84,9630702437319;13,2427971522309;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200007052";"FAM_1";77,644745329797;12,1021240097546;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200007177";"FAM_1";77,5366191887633;12,0852708928833;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200010650";"FAM_1";94,0278812939831;14,6556869361972;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200010700";"FAM_1";71,1627855816689;11,0918112015293;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200011773";"FAM_1";115,965050359954;18,0749310760509;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200011781";"FAM_1";64,823578271424;10,1037485494301;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200012060";"FAM_1";50,9037807809208;7,93413469204401;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200013050";"FAM_1";61,1413458985076;9,52981617808306;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200015162";"FAM_1";92,6991093452357;14,4485774552385;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200016905";"FAM_1";65,5019347636497;10,2094808093128;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200017341";"FAM_1";110,501201237599;17,2233064185359;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200017846";"FAM_1";97,5994114547674;15,2123646704959;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200018083";"FAM_1";69,5333358996929;10,8378364858526;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200018166";"FAM_1";75,2812868236622;11,7337427650012;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200018406";"FAM_1";74,9626878953613;11,6840842372631;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200018521";"FAM_1";74,3385159990561;11,5867974774134;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200018653";"FAM_1";313,507942025297;48,8650194719238;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200022986";"FAM_1";82,1297223700319;12,8011764451934;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200023075";"FAM_1";66,7483391285863;10,4037520394739;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200023125";"FAM_1";92,2660019620136;14,3810710291561;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200023240";"FAM_1";104,075440901998;16,2217531504029;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200023299";"FAM_1";102,948183167938;16,0460527494214;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200023307";"FAM_1";88,8753548494664;13,8525866912261;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200023372";"FAM_1";101,04364184691;15,7492007840904;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200023414";"FAM_1";116,307241500687;18,1282668118124;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200023620";"FAM_1";75,3780195560998;11,7488200444589;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200023737";"FAM_1";102,425844142614;15,9646382038169;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200023778";"FAM_1";54,8026640683391;8,54183543011042;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200023794";"FAM_1";74,680013032341;11,6400250258872;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200023919";"FAM_1";74,2388559607182;11,5712639324497;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200026573";"FAM_1";78,9019839843574;12,298083930065;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200027027";"FAM_1";55,5643542023241;8,66055651573367;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200027076";"FAM_1";79,9732563483465;12,4650581527526;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200027100";"FAM_1";92,8064160271398;14,4653028468405;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200027183";"FAM_1";136,776037533765;21,3186425013779;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200027217";"FAM_1";88,8653515947504;13,8510275306086;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200027308";"FAM_1";56,3170333298128;8,7778730978376;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200027548";"FAM_1";216,325393575807;33,7176292921485;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200029734";"FAM_1";70,106428859629;10,9271618103263;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200029999";"FAM_1";62,3447984526466;9,71739270999367;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200030195";"FAM_1";118,502611320209;18,4704488576196;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200030385";"FAM_1";87,9703642321963;13,7115300281983;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200030435";"FAM_1";94,5494242867565;14,736977407924;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200030526";"FAM_1";70,3500418041459;10,9651326228056;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200030633";"FAM_1";102,61217090126;15,9936800859157;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200030658";"FAM_1";71,4034703595287;11,1293256143405;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200030674";"FAM_1";95,5075863192536;14,8863216512397;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200032514";"FAM_1";84,6246838444836;13,190054443764;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200033025";"FAM_1";91,4669807101745;14,2565313164542;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200033090";"FAM_1";64,5223093829813;10,0567911741083;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200033116";"FAM_1";92,6480342298102;14,4406166154152;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200033173";"FAM_1";68,1733604794399;10,6258634654477;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200033181";"FAM_1";92,1636005508144;14,3651101992011;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200033207";"FAM_1";111,505890291678;17,3799026115179;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200033298";"FAM_1";58,2939179478158;9,08600087517049;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200033579";"FAM_1";109,067287629205;16,999808997888;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200033827";"FAM_1";126,599473509462;19,7324689709966;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200033868";"FAM_1";87,5394199881807;13,6443607605264;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200034023";"FAM_1";82,725837599414;12,894090143338;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200034031";"FAM_1";70,8695244079295;11,0461019513184;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200034049";"FAM_1";66,0042183724379;10,2877694107604;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200034056";"FAM_1";75,6639455733084;11,7933859980618;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200034064";"FAM_1";113,189901713998;17,6423816109684;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200034098";"FAM_1";88,164350456554;13,7417657554634;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200034130";"FAM_1";54,9826653606212;8,56989139129442;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200034197";"FAM_1";66,4004595999028;10,3495296812357;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200034205";"FAM_1";112,305021593915;17,5044594772615;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200034270";"FAM_1";74,3949471231363;11,595593133304;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200034379";"FAM_1";89,7752894810336;13,9928553013637;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200034411";"FAM_1";89,2434245399862;13,9099559957422;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200034601";"FAM_1";104,321990461784;16,2601816793961;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200034635";"FAM_1";63,5210854577714;9,90073507458792;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200034692";"FAM_1";89,5125492797051;13,9519032126509;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
"200034700";"FAM_1";100,165230660076;15,612286932812;15,5865332011209;"Part des familles monoparentales

parmi l'ensemble des familles";"%";"Familles monoparentales"
