"epci","clust","lib"
200000172,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200000438,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200000545,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200000628,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200000800,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200000925,1,"Un bon accès à l'emploi des femmes mais certains freins demeurent"
200000933,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200004802,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200005932,2,"Un bon accès à l'emploi des femmes et un faible niveau d'inégalités femmes-hommes"
200005957,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200006682,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200006716,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200006930,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200006971,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200007052,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200007177,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200010650,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200010700,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200011773,5,"Un accès à l'emploi dégradé associé à des freins d'ordre principalement familiaux et à de fortes inégalités femmes-hommes"
200011781,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
200012060,4,"Un accès à l'emploi dégradé associé à de nombreux freins et à de fortes inégalités femmes-hommes"
200013050,3,"Un accès à l'emploi des femmes moyen et un faible niveau d'inégalités femmes-hommes"
